Time,Signal,Price,EMA9,EMA21,RSI,Volume,VolumeMA,4H,Reason
2026-03-26 10:30:00,HOLD,70310.90,70669.19,70846.76,29.51,183.45,149.48,true,No active cross event
2026-03-26 10:45:00,HOLD,70016.98,70538.75,70771.33,24.46,454.86,165.67,true,No active cross event
2026-03-26 11:00:00,HOLD,70068.00,70444.60,70707.39,26.80,381.26,178.76,true,No active cross event
2026-03-26 11:15:00,HOLD,70059.50,70367.58,70648.49,26.65,188.79,184.76,true,No active cross event
2026-03-26 11:30:00,HOLD,70000.32,70294.13,70589.56,25.59,219.46,181.50,true,No active cross event
2026-03-26 11:45:00,HOLD,70097.18,70254.74,70544.80,30.47,226.68,190.37,true,No active cross event
2026-03-26 12:00:00,HOLD,70048.50,70213.49,70499.68,29.43,170.93,196.05,true,No active cross event
2026-03-26 12:15:00,HOLD,69969.87,70164.77,70451.52,27.77,245.37,194.38,true,No active cross event
2026-03-26 12:30:00,HOLD,70071.97,70146.21,70417.01,33.04,205.66,195.18,true,No active cross event
2026-03-26 12:45:00,HOLD,70087.44,70134.45,70387.05,33.83,91.07,197.23,true,No active cross event
2026-03-26 13:00:00,HOLD,69924.82,70092.53,70345.03,29.85,131.90,200.68,true,No active cross event
2026-03-26 13:15:00,HOLD,69826.84,70039.39,70297.92,27.74,99.99,201.39,true,No active cross event
2026-03-26 13:30:00,HOLD,69937.32,70018.98,70265.14,33.46,154.76,201.89,true,No active cross event
2026-03-26 13:45:00,HOLD,70024.77,70020.13,70243.29,37.67,124.18,197.25,true,No active cross event
2026-03-26 14:00:00,HOLD,70028.91,70021.89,70223.80,37.87,252.89,202.60,true,No active cross event
2026-03-26 14:15:00,HOLD,70028.12,70023.14,70206.01,37.85,212.04,210.46,true,No active cross event
2026-03-26 14:30:00,HOLD,69506.64,69919.84,70142.43,25.76,647.65,237.62,true,No active cross event
2026-03-26 14:45:00,HOLD,69562.41,69848.35,70089.70,28.39,200.50,241.24,true,No active cross event
2026-03-26 15:00:00,HOLD,69579.23,69794.53,70043.30,29.21,250.77,228.34,true,No active cross event
2026-03-26 15:15:00,HOLD,69661.45,69767.91,70008.58,33.21,109.65,227.59,true,No active cross event
2026-03-26 15:30:00,HOLD,69548.18,69723.97,69966.73,30.64,131.50,225.00,true,No active cross event
2026-03-26 15:45:00,HOLD,69517.68,69682.71,69925.91,29.97,202.24,212.36,true,No active cross event
2026-03-26 16:00:00,HOLD,69566.06,69659.38,69893.19,32.50,174.97,202.05,true,No active cross event
2026-03-26 16:15:00,HOLD,69321.37,69591.78,69841.21,27.15,337.21,209.47,true,No active cross event
2026-03-26 16:30:00,HOLD,69398.00,69553.02,69800.92,30.98,156.64,206.33,true,No active cross event
2026-03-26 16:45:00,HOLD,69276.01,69497.62,69753.20,28.42,134.86,201.74,true,No active cross event
2026-03-26 17:00:00,HOLD,69375.23,69473.14,69718.84,33.26,170.82,201.73,false,No active cross event
2026-03-26 17:15:00,HOLD,69420.65,69462.64,69691.73,35.41,139.85,196.46,false,No active cross event
2026-03-26 17:30:00,HOLD,69365.73,69443.26,69662.09,33.98,156.88,194.02,false,No active cross event
2026-03-26 17:45:00,HOLD,69436.42,69441.89,69641.58,37.47,122.28,195.58,false,No active cross event
2026-03-26 18:00:00,HOLD,69484.14,69450.34,69627.26,39.78,267.32,202.35,false,No active cross event
2026-03-26 18:15:00,HOLD,69400.14,69440.30,69606.62,37.18,176.34,206.17,false,No active cross event
2026-03-26 18:30:00,HOLD,69547.35,69461.71,69601.23,44.09,306.72,213.76,false,No active cross event
2026-03-26 18:45:00,HOLD,69646.59,69498.69,69605.35,48.23,611.22,238.12,false,No active cross event
2026-03-26 19:00:00,HOLD,69608.40,69520.63,69605.63,46.80,252.45,238.09,false,No active cross event
2026-03-26 19:15:00,HOLD,69611.03,69538.71,69606.12,46.91,194.56,237.22,false,No active cross event
2026-03-26 19:30:00,HOLD,69516.89,69534.35,69598.01,43.24,232.37,216.46,false,No active cross event
